HCPCS_Cd,HCPCS_Desc,Provider_Count,Service_Records,Total_Beneficiaries,Total_Services,Avg_Medicare_Payment,Avg_Submitted_Charge,Avg_Allowed_Amount
K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",972,972,677775,5958089,10.708046159816668,12.178119490006377,10.708046159816668
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",357,357,35491,3369932,0.09032305306778711,2.1842866957462186,0.11543361402885155
99214,"Established patient office or other outpatient visit, 30-39 minutes",14647,14667,1707884,2920533,81.10232704684528,255.6897691657422,115.32383633882
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,5,5,14128,2768799,1.0136656942,1.45036785508,1.0136656942
A0425,"Ground mileage, per statute mile",254,254,143875,2512664,7.283999326930709,18.431569262797247,9.132823182470473
99213,"Established patient office or other outpatient visit, 20-29 minutes",14352,14360,1426172,2212178,56.967272472370794,174.83235490145995,81.96931537227167
J1439,"Injection, ferric carboxymaltose, 1 mg",46,46,1644,2125478,0.8832900720152174,3.2915869220934786,1.1115348084152175
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",23,23,677,1728442,4.480104460256522,15.587208786152175,5.636579483517392
97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",2237,2237,137632,1699644,18.683401643219312,69.38079753103844,24.25417637321502
A9575,"Injection, gadoterate meglumine, 0.1 ml",107,107,11004,1613316,0.11170887762523365,2.1021935069635513,0.1411737041738318
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",35,35,1369,1357111,0.6401898208457143,3.7792800424599995,0.8094405446085714
J0878,"Injection, daptomycin, 1 mg",7,7,136,1356552,0.04744669401428571,1.7734314480857143,0.05927349225714286
J0897,"Injection, denosumab, 1 mg",304,304,11358,1244244,16.721962375967436,41.21286737279836,21.208269379380592
99232,"Follow-up hospital inpatient care per day, typically 25 minutes",5123,5123,382292,1101807,55.103334018058895,198.38174830044719,69.57165498453406
J9271,"Injection, pembrolizumab, 1 mg",63,63,1405,1019765,42.03302684347619,129.9120182226508,52.66962695815873
J0881,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",37,37,1189,997077,2.4984342186513513,13.594555526372973,3.155232307581081
J0585,"Injection, onabotulinumtoxina, 1 unit",96,96,2166,892570,4.793649828236458,14.243657768207292,6.058529220816666
85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",1013,1013,470315,876714,7.6251598849552815,33.0929177412082,7.6251598849552815
36415,Insertion of needle into vein for collection of blood sample,2546,2546,454562,870827,2.9496342861769445,15.08873278190593,2.9496342861769445
97530,Therapy procedure using functional activities,1642,1642,83491,848127,26.46372348645006,72.9031850837095,34.08256755590438
97140,"Therapy procedure using manual technique, each 15 minutes",1892,1892,94375,813988,16.600418340934514,65.4919402200777,21.521571853567124
97112,"Therapy procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",1695,1695,83123,756895,22.8123451719646,70.72999220509027,29.44804057742832
99233,"Follow-up hospital inpatient care per day, typically 35 minutes",4103,4103,301699,735416,80.03283281804484,296.9002528025257,100.76418227338216
J1071,"Injection, testosterone cypionate, 1 mg",24,24,705,732714,0.018947912375,4.397517099408334,0.026838715116666665
J1602,"Injection, golimumab, 1 mg, for intravenous use",34,34,1017,658588,11.687980840147059,51.52568281085294,14.698892787529411
80053,"Blood test, comprehensive group of blood chemicals",742,742,331586,588433,10.359026815560782,46.15265167707143,10.359026815560782
17003,"Destruction of precancer skin growth, 2-14 growths",557,557,96721,568219,4.6523065870825855,25.162129400017594,6.275296242085637
J7328,"Hyaluronan or derivative, gelsyn-3, for intra-articular injection, 0.1 mg",30,30,975,556337,1.5858897363433333,5.393076014813333,2.005853655543333
A9585,"Injection, gadobutrol, 0.1 ml",93,93,6414,544250,0.25750462513440864,3.637898364954839,0.325588520355914
80061,"Blood test, lipids (cholesterol and triglycerides)",687,687,400871,541798,13.157639600433772,56.517749818851534,13.157639600433772
J3262,"Injection, tocilizumab, 1 mg",15,15,268,533485,4.5780507186,12.241639944753333,5.756031658653333
83036,Hemoglobin a1c level,1419,1419,342179,519355,9.514764250522198,38.96290704554954,9.514764250522198
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",1164,1164,69038,498385,0.8317008398630584,10.796769701723369,1.1296315807131443
G0008,Administration of influenza virus vaccine,3729,3729,478051,481862,26.829691556133653,40.07580441565208,26.829691556133653
J1453,"Injection, fosaprepitant, 1 mg",39,39,1105,471000,0.13580343503076922,4.543840299520513,0.17174880754102564
71045,"X-ray of chest, 1 view",792,793,369927,469513,7.074749857037201,48.81228422038588,9.440929010416015
J0129,"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",35,35,1050,466977,34.442487400714285,84.2678520476,43.26447911065714
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",641,641,30215,457022,0.08746865518034322,6.4121186099926675,0.11963327602823713
88305,"Pathology examination of tissue using a microscope, intermediate complexity",511,512,214001,441136,32.72325958660352,182.93360866760742,42.599368233748045
93010,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report only,1624,1630,339258,425335,6.168508431147914,51.145046119155765,8.137974273929325
Q5101,"Injection, filgrastim-sndz, biosimilar, (zarxio), 1 microgram",12,12,222,380760,0.21083836294166666,2.311919106025,0.26675369828333334
98941,"Chiropractic manipulative treatment, 3-4 spinal regions",839,839,44157,377942,27.60138987069011,59.93216248893683,39.23021080704053
A0435,"Fixed wing air mileage, per statute mile",6,6,1464,349429,10.270181491899999,95.85631941999999,12.873098608
J1756,"Injection, iron sucrose, 1 mg",25,25,563,344900,0.16320548689599998,2.326075669952,0.20895964923600002
99204,"New patient office or other outpatient visit, 45-59 minutes",6793,6799,330104,330132,111.92254723704588,385.0607005619037,158.58181561745624
J9267,"Injection, paclitaxel, 1 mg",33,33,596,323017,0.0952967052,3.388247353442424,0.12010076475151515
99215,"Established patient office or other outpatient visit, 40-54 minutes",4434,4441,211939,320334,120.8694669276271,374.46445763083136,164.92135051872438
99309,"Follow-up nursing facility visit per day, typically 25 minutes",1024,1031,85207,311389,63.226634188093115,186.15571288788556,83.02966318629097
81001,"Manual urinalysis test with examination using microscope, automated",431,431,216746,303365,3.108724471694664,18.359213048738283,3.108724471694664
93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,2202,2202,231906,294067,9.952950969440737,64.39415093126249,14.236181425563988
99308,"Follow-up nursing facility visit per day, typically 15 minutes",981,987,78640,292057,47.739544508686116,141.91565060835157,63.62809475271428
J9299,"Injection, nivolumab, 1 mg",20,20,313,291525,22.040955125365,74.91590504615,27.57022670033
92014,Established patient complete exam of visual system,1096,1096,251806,290835,79.40494418118587,194.15169448346714,123.09444554871808
U0005,"Infectious agent detection by nucleic acid (dna or rna); severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19]), amplified probe technique, cdc or non-cdc, making use of high throughput technologies, completed within",125,125,139767,280516,24.657363794376,50.009839095592,24.657363794376
G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",3059,3060,273159,273159,118.27279206361357,262.9433973935075,118.27279206361357
J3111,"Injection, romosozumab-aqqg, 1 mg",15,15,334,272373,7.391861006066667,20.725457483579998,9.304562802946666
99285,Emergency department visit for life threatening or functioning severity,1820,1820,256125,265702,142.77618061255933,1184.47584724211,172.30611055944505
99203,"New patient office or other outpatient visit, 30-44 minutes",5071,5072,264566,264599,72.31323522646747,250.7089696217088,105.15858688201932
J7320,"Hyaluronan or derivitive, genvisc 850, for intra-articular injection, 1 mg",29,29,1800,258303,12.352168867496552,27.658275400517244,15.53393287072414
99223,"Initial hospital inpatient care per day, typically 70 minutes",3859,3859,232850,246637,153.41863297054883,538.679821023234,195.58371424604817
J1095,"Injection, dexamethasone 9 percent, intraocular, 1 microgram",3,3,515,240679,0.7384570520999999,2.186038034733333,0.9232793325666666
90662,"Influenza vaccine split virus, preservative free",2451,2451,232231,233422,67.14989694097858,92.35439859867809,67.14990529067911
92134,Imaging of retina,781,782,120914,228524,27.394239897687594,106.55463895294629,38.724121346285166
99212,"Established patient office or other outpatient visit, 10-19 minutes",3382,3382,158847,216769,36.67654107302927,110.93242586493731,51.708722896931995
J0185,"Injection, aprepitant, 1 mg",18,18,519,211120,1.354882923511111,5.512432341516667,1.6940113787388889
83735,Magnesium level,219,219,126431,209178,6.578481953014156,29.521054584416895,6.578481953014156
95004,Test for allergy using allergenic extract,102,102,3497,200359,3.209006290793137,13.246129173360785,4.128119618651961
C9290,"Injection, bupivacaine liposome, 1 mg",14,14,969,197991,1.0631335606571428,6.03885221465,1.3324250009714285
77067,Screening mammography,602,608,187628,190274,69.47374563455921,235.26973501966447,69.47374563455921
96372,Injection of drug or substance under skin or into muscle,1827,1827,75853,189538,9.71128947401872,52.814300433551175,13.507782306657472
71046,"X-ray of chest, 2 views",1772,1778,175233,188280,13.762009486278965,74.64395673596569,19.691023158722047
66984,Removal of cataract with insertion of prosthetic lens,450,452,44944,187080,319.83029161400043,1765.4554376340532,405.31021813011677
93306,"Ultrasound of heart with color-depicted blood flow, rate, direction and valve function",1047,1055,176333,183061,90.46352323022369,458.5881421536341,121.24167473489668
82728,Ferritin (blood protein) level,274,274,118869,180572,13.349776501774452,48.69361329683102,13.349776501774452
J7345,"Aminolevulinic acid hcl for topical administration, 10% gel, 10 mg",20,20,570,173805,1.247028204935,2.56174039132,1.57263779377
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",14,14,1537,173786,2.779841252792857,13.65331931005,3.5760709019857146
17000,"Destruction of precancer skin growth, 1 growth",630,630,127565,173052,36.81662273004397,156.5944610023905,52.26158166473651
J2777,"Injection, faricimab-svoa, 0.1 mg",40,40,1492,169948,29.76340331875,66.10209038315,37.356871434175005
U0003,"Infectious agent detection by nucleic acid (dna or rna); severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19]), amplified probe technique, making use of high throughput technologies as described by cms-2020-01-r",109,109,85815,169936,74.09243866608257,192.7986273513945,74.09243866608257
11721,"Removal of fingernails or toenails, 6 or more nails",408,409,72487,169897,30.755360686662346,89.17633491108802,42.43269996836185
99291,"Critical care, first 30-74 minutes",2100,2101,99721,169178,178.65733973507378,1106.7011995270252,216.09518220748214
J9263,"Injection, oxaliplatin, 0.5 mg",15,15,239,168432,0.04923565978666667,19.031257908493334,0.062251421493333334
J3380,"Injection, vedolizumab, 1 mg",13,13,208,163801,17.243179564384615,51.24131899384615,21.655643051153845
G0283,"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care",509,509,21769,161190,7.245051127107269,39.44905138175639,9.331856605897052
70450,Ct scan head or brain without contrast,724,728,146352,153604,36.40921259496703,285.2549583641401,49.196142268331045
84550,"Uric acid level, blood",207,207,103212,152664,4.448362064952174,20.130158671048793,4.448390858502416
81003,Automated urinalysis test,1445,1445,108942,151391,2.207460442691765,14.107887503637855,2.207460442691765
84443,"Blood test, thyroid stimulating hormone (tsh)",592,592,108549,149514,16.526499433913852,61.88941249764696,16.526499433913852
87798,"Detection test by nucleic acid for organism, amplified probe technique",43,43,16217,148515,34.63431118383721,117.67244055453489,34.63431118383721
84439,"Thyroxine (thyroid chemical), free",304,304,101473,144975,8.855335652080592,37.62947953974441,8.855335652080592
77063,Screening 3d breast mammography,506,510,138361,142105,35.00217735427843,124.24759894478628,35.00217735427843
80048,"Blood test, basic group of blood chemicals (calcium, total)",492,492,91505,138975,8.310127986117479,39.04303169592642,8.310127986117479
20610,Aspiration and/or injection of fluid from large joint,1261,1262,78879,137724,46.035818451229794,280.1758502093716,62.425408405435824
87150,"Identification of organisms by genetic analysis, amplified probe technique",7,7,8754,136031,34.646987498142856,84.64502586642857,34.646987498142856
99239,"Hospital discharge day management, more than 30 minutes",1752,1752,129308,135509,81.54797984297318,320.50539048051365,102.82918065993037
J2357,"Injection, omalizumab, 5 mg",21,21,458,135381,27.70896852740476,78.5638108734762,34.83325655542857
J1745,"Injection, infliximab, excludes biosimilar, 10 mg",37,37,827,133415,28.30962462878378,150.51519961605405,35.6781138464054
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",202,202,86143,127840,370.8853080381188,1207.8810958679207,471.39200464420793
J3121,"Injection, testosterone enanthate, 1 mg",3,3,72,126704,0.030349586933333336,0.09645456383333334,0.045659977866666666
J9144,"Injection, daratumumab, 10 mg and hyaluronidase-fihj",13,13,286,125823,35.38167841515384,126.98717913976922,44.30205837692308
99490,"Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",412,412,29347,124219,45.48438413769661,99.74622322523544,60.08907328808253
Q9966,"Low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml",59,59,5044,123877,0.2620273346186441,14.36953490529661,0.3315361266016949
G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",132,132,19425,123846,41.24320045360303,210.68485158467425,57.24236695897727
0124A,Fee covid-19 vac 13 res,1144,1144,122420,122525,38.54163586876923,62.18550627211014,38.54163586876923
95165,Professional service for preparation and provision of 1 or more antigens,96,96,4386,121722,11.0558683999125,27.78341189596875,14.89937333636354
99222,"Initial hospital inpatient care per day, typically 50 minutes",2748,2748,114187,121458,103.84525307560408,353.82868740448686,133.0289768201281
82607,Cyanocobalamin (vitamin b-12) level,345,345,92888,120339,14.816406078878261,54.03900890523768,14.816406078878261
J0586,"Injection, abobotulinumtoxina, 5 units",7,7,233,118943,6.581565974128572,18.517263474142858,8.311079758114285
99284,Emergency department visit for problem of high severity,1819,1819,115572,118701,91.85897757839912,764.7561353352721,118.26661914512918
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",29,29,859,118441,6.3752576169103445,28.242433789275864,8.130042181631035
98940,"Chiropractic manipulative treatment, 1-2 spinal regions",410,410,16517,115279,19.077523903373173,48.199011978309755,27.57339464307073
97116,"Therapy procedure for walking training, each 15 minutes",350,350,10092,115245,17.945130494405714,59.48871644709428,23.08154302670857
99231,"Follow-up hospital inpatient care per day, typically 15 minutes",1467,1467,50616,114855,29.590672869531698,111.53311280533265,37.5314024615317
92012,Established patient problem focused exam of visual system,563,563,72902,114559,60.844469294449375,149.18465246453286,89.43935653045115
90837,"Psychotherapy, 1 hour",460,460,11624,114194,93.62227498872174,202.37592119393912,122.73916121391305
J7329,"Hyaluronan or derivative, trivisc, for intra-articular injection, 1 mg",36,36,1281,109501,9.641780313280556,72.25746666666666,12.1057917711
90694,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",1347,1347,108402,108885,67.89213107240758,91.04240132808314,67.89213107240758
67028,Injection of drug into eye,140,140,23893,106108,90.71492896817144,513.7452787320143,119.68688628567142
J0588,"Injection, incobotulinumtoxin a, 1 unit",7,7,216,102662,3.953635898242857,12.058244261857142,4.978013187585715
J2469,"Injection, palonosetron hcl, 25 mcg",83,83,2779,99433,0.8076736813915663,63.434870717932526,1.0165751976216868
11102,"Biopsy of related skin growth, first growth",569,570,82938,98922,59.54615141653158,217.15400749704912,83.36039986769123
0064A,Adm sarscov2 50mcg/0.25mlbst,925,925,96158,97671,38.85433509354811,56.672003439521085,38.85433509354811
J0178,"Injection, aflibercept, 1 mg",80,80,9459,93992,715.1674734465,1616.897500219875,898.42519961725
92250,Photography of the retina,742,744,86931,92829,25.148581706867205,111.97931062437232,36.48333621732258
Q5106,"Injection, epoetin alfa-epbx, biosimilar, (retacrit) (for non-esrd use), 1000 units",23,23,446,89545,6.401377277669566,26.36061977597826,8.146158877347826
90834,"Psychotherapy, 45 minutes",359,359,10548,89507,64.58419488318941,169.72862953728134,85.50337358081337
74177,Ct scan of abdomen and pelvis with contrast,865,868,85508,89178,101.00547459339747,665.1992574098215,133.5345904998203
97535,"Training for self-care or home management, each 15 minutes",435,435,17614,87808,21.440852774117243,73.09100794910574,27.733464733491953
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",52,52,1208,86862,7.862661150382692,29.296429922634616,9.999292118517307
80307,"Testing for presence of drug, by chemistry analyzers",136,136,27413,86651,60.209882659867645,234.28905937702206,60.209882659867645
88341,"Special stained specimen slides to examine tissue, each additional procedure",343,344,22783,85438,29.39688900115988,139.66871353722385,37.01725239583721
83540,Iron level,243,243,54714,82748,6.358244028549794,24.415374691097533,6.358244028549794
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",240,240,59517,81882,316.23403589241667,911.2335680465001,404.05588466775004
85027,"Complete blood cell count (red cells, white blood cell, platelets), automated test",204,204,60673,81341,6.353368662133824,28.31807166893186,6.353368662133824
83615,Lactate dehydrogenase (enzyme) level,109,109,33777,81093,5.941753681970643,28.07778395707156,5.941753681970643
85610,"Blood test, clotting time",358,358,19894,80790,4.2184184407089385,22.008587110618716,4.2184184407089385
0134A,Fee covid-19 vac 14 res,767,767,80098,80168,38.065871358393224,58.624946401346676,38.065871358393224
17110,"Destruction of skin growth, 1-14 growths",545,546,62839,79051,74.33636397731502,237.39800576096886,104.37857056919414
J7318,"Hyaluronan or derivative, durolane, for intra-articular injection, 1 mg",30,30,856,78715,10.67070032056,29.3804053662,13.443215096476667
92083,Exam of visual field with extended testing,826,826,69561,78591,41.64802172635956,137.20594072226635,60.71478179579661
99211,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,737,737,50970,76809,17.229278166440842,58.70061121684626,22.33700050273609
J2182,"Injection, mepolizumab, 1 mg",6,6,118,76800,22.52368985,73.48274225966667,28.31835324533333
92133,Imaging of optic nerve,778,778,69865,76795,23.678131123029562,104.64704395504756,34.638245418249355
77014,Ct guidance for insertion of radiation therapy fields,145,147,8249,76647,53.00790224212925,304.8352695832517,66.78975857742176
84153,"Psa (prostate specific antigen) measurement, total",255,255,57609,75248,18.06660478006667,69.51093717331372,18.06660478006667
73030,"X-ray of shoulder, minimum of 2 views",1186,1193,61409,74141,14.733181441124142,78.7448400438969,20.361809077787427
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",9,9,159,74034,32.83769106188889,152.07014914444446,41.21225216
J2405,"Injection, ondansetron hydrochloride, per 1 mg",43,43,1445,72828,0.06734623316976744,6.56871712875814,0.08602716639767442
J9025,"Injection, azacitidine, 1 mg",6,6,81,72738,0.5525514284333334,5.669999999999999,0.6943831903666666
73630,"X-ray of foot, minimum of 3 views",1075,1079,52448,71833,15.276335542585265,70.7131280226089,21.074568614945413
82306,Vitamin d-3 level,367,367,57054,71587,29.08717491762943,97.30286237664305,29.08717491762943
77080,"Dxa bone density measurement of hip, pelvis, spine",624,627,71046,71554,23.054332328464277,152.39176134828006,23.054332328464277
81002,"Urinalysis, manual test",958,958,51178,69573,3.4206000069199374,14.526039000069416,3.4206000069199374
74176,Ct scan of abdomen and pelvis without contrast,821,824,66558,68509,75.79882072961772,550.4174760674526,100.05796798549758
J3304,"Injection, triamcinolone acetonide, preservative-free, extended-release, microsphere formulation, 1 mg",35,35,1274,68478,13.131422212088571,40.322097948571425,16.608448793865715
99205,"New patient office or other outpatient visit, 60-74 minutes",1944,1947,68187,68196,155.61975922497638,511.1598111419055,209.63328377651874
73502,"X-ray of hip, 2-3 views",1087,1089,60001,67825,17.021785627446373,89.92033177991644,23.661388658110468
74018,"X-ray of abdomen, 1 view",776,779,59480,67717,9.01716720766534,56.03607315932862,12.190080577589475
71250,Ct scan of chest without contrast,817,820,64667,67515,48.99900047041098,375.4023461688903,65.64510558540245
99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",146,146,15443,67467,38.71235436633562,113.73187206773288,49.96485834736301
99336,"Established patient custodial care facility, group care, or assisted living visit, typically 40 minutes",268,268,16169,66814,86.45160364833956,235.13888459932835,118.97271734873881
85652,"Red blood cell sedimentation rate, to detect inflammation, automated",114,114,44470,65267,2.6601834424964914,15.199179944489472,2.6601834424964914
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",275,275,20024,65235,4.914042505638181,17.839356238249454,6.613631166090182
88342,"Special stained specimen slides to examine tissue, initial procedure",365,365,47719,64792,35.25216323693699,171.9488103256822,44.631186392638355
A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",71,71,40185,63559,193.284046231831,852.5178727995775,246.9874563967606
G0444,"Annual depression screening, 15 minutes",719,719,63496,63506,17.291425454530042,39.57901075253686,17.291425454530042
J9030,"Bcg live intravesical instillation, 1 mg",26,26,429,62482,2.1754683019923076,6.894083217688461,2.779933581592308
J2778,"Injection, ranibizumab, 0.1 mg",30,30,2773,62027,221.65386026,674.2006076199999,278.8046843463333
82550,"Creatine kinase (cardiac enzyme) level, total",98,98,41575,61568,6.403287777904082,28.325173015517343,6.403287777904082
86769,Measure of severe acute respiratory syndrome coronavirus 2 (covid-19) antibody,20,20,38228,61392,41.46176050795,93.37311472755,41.46176050795
84402,"Testosterone (hormone) level, free",17,17,46218,61144,25.08058084464706,109.20032064182354,25.08058084464706
99497,"Advance care planning, first 30 minutes",852,852,56190,60952,61.97286755829554,185.47753959799294,76.17570962217641
51798,Ultrasound measurement of bladder capacity after voiding,295,295,43390,60614,7.83781518942339,72.17668804643729,10.682126006434238
A0436,"Rotary wing air mileage, per statute mile",7,7,754,60380,29.00004255242857,330.41600434000003,36.34737792185714
J2785,"Injection, regadenoson, 0.1 mg",205,205,14871,59326,47.81816298412683,148.73871553676585,60.21518683476585
73562,"X-ray of knee, 3 views",867,870,45939,59193,16.766925792698505,85.43502036319805,23.524251877457125
0054A,Adm sarscv2 30mcg trs-sucr b,835,835,58850,59086,39.043925853682396,62.79792365890156,39.043925853682396
83970,Parathormone (parathyroid hormone) level,102,102,37517,57714,40.606454322431375,135.96243423344117,40.606454322431375
92136,Measurement of corneal curvature and depth of eye,286,286,36523,57378,28.85254073104545,161.9728072968881,39.409919008055944
92004,New patient complete exam of visual system,878,878,55148,55151,90.2924534436401,228.21285037603985,145.09902131320842
95117,Professional service for multiple injections of allergen,124,124,6384,54875,7.88383646788871,35.43661556491935,11.139500003534678
J3010,"Injection, fentanyl citrate, 0.1 mg",26,26,2481,54821,0.5971372434076924,12.946071164726922,0.7564937001307693
97150,Therapy procedure in a group setting,232,232,12141,54718,10.99825780449612,43.558725966500006,14.120898042698276
11042,"Removal of skin and tissue, 20.0 sq cm or less",353,356,13872,54042,72.14088796742696,270.0561922161292,93.02911222178932
87077,Bacterial culture for aerobic isolates,62,62,38047,53091,7.9289044786564515,28.639773768414518,7.9289044786564515
99283,Emergency department visit for problem of moderate severity,1434,1434,51314,53050,53.03602932457811,479.32166957895055,69.93666970246164
U0004,"2019-ncov coronavirus, sars-cov-2/2019-ncov (covid-19), any technique, multiple types or subtypes (includes all targets), non-cdc, making use of high throughput technologies as described by cms-2020-01-r",19,19,9929,51709,73.5806789798421,198.52340094789474,73.5806789798421
99310,"Follow-up nursing facility visit per day, typically 35 minutes",426,430,22859,51440,94.20937199348606,292.9573548774186,121.49940893047675
J9155,"Injection, degarelix, 1 mg",9,9,181,50467,3.1243901095,8.66742892907778,3.983291407155556
11720,"Removal of fingernails or toenails, 1-5 nails",205,205,23368,50408,23.52136386593073,61.97390837499512,32.048465627063415
93880,Ultrasound of both sides of head and neck blood flow,804,807,48732,50244,80.60630861999381,346.206543044052,107.34329405116976
Q5110,"Injection, filgrastim-aafi, biosimilar, (nivestym), 1 microgram",2,2,28,49140,0.28179083605,5.25,0.35615854225
P9604,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge,16,17,18166,48551,8.692095357370588,11.413325365588236,8.692095357370588
84481,"Thyroid hormone, t3 measurement, free",68,68,34963,48211,16.525565071129414,59.75946458779412,16.525565071129414
11056,"Removal of noncancer thickened skin growth, 2-4 growths",262,262,20771,47448,59.53162353669351,132.2905710207214,81.46477664521755
71260,Ct scan of chest with contrast,717,722,44593,47441,50.753022436795014,423.9688219373186,67.39778571437257
J1030,"Injection, methylprednisolone acetate, 40 mg",413,413,23125,47376,4.728070019189346,22.316092836753025,6.325914183984262
82784,Gammaglobulin (immune system protein) measurement,42,42,8625,47363,9.134625440735714,51.84858341909524,9.134625440735714
G6015,"Intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc, per treatment session",56,56,3743,47181,297.40198101357146,1846.6842534132143,373.02721921803567
73564,"X-ray of knee, 4 or more views",697,698,37522,47087,20.25779705253825,103.62857375579657,28.36401002670602
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",15,15,277,46801,35.62308459846667,132.22561376066668,44.61055739426667
93970,Ultrasound study of arm or leg veins with compression and maneuvers,701,706,43559,46694,68.72709549104107,342.0594724784136,90.68772510816997
45385,Removal of polyps or growths of large bowel using an endoscope with mechanical snare,533,534,46232,46615,222.97401448649063,1527.9268369730712,285.12368722368916
96413,"Administration of chemotherapy into vein, 1 hour or less",226,226,12597,46580,107.51235712923894,472.5482276173009,137.08806128230088
97035,"Application of ultrasound, each 15 minutes",191,191,6221,46547,8.418988077902618,39.24829389884293,10.962030548301572
82746,"Folic acid level, serum",135,135,37081,46516,14.464244199851851,58.25813840091852,14.464244199851851
99307,"Follow-up nursing facility visit per day, typically 10 minutes",307,309,20564,46149,31.04101209332686,98.43911357246279,41.5307210633657
99442,"Telephone medical discussion with physician, 11-20 minutes",954,956,32140,46012,54.538320381724894,160.71656478109102,81.31662902941318
82570,Creatinine level to test for kidney function or muscle injury,368,368,34080,45832,5.086483611416576,22.95801275844538,5.086483611416576
J0696,"Injection, ceftriaxone sodium, per 250 mg",260,260,7753,45637,0.34822323938846156,17.332028057559615,0.48988807859
90832,"Psychotherapy, 30 minutes",210,210,8527,45164,48.146794035680955,131.21326882969524,64.23575715851429
86141,"Measurement c-reactive protein for detection of infection or inflammation, high sensitivity",28,28,36361,45075,12.782812705214285,48.63537254053572,12.782812705214285
87426,Detection test by immunoassay technique for severe acute respiratory syndrome coronavirus,725,725,39042,45056,38.00297834430069,97.37137260088001,38.00297834430069
72100,"X-ray of lower and sacral spine, 2-3 views",956,960,41208,44956,16.642536179460937,89.57465184325416,23.079413281634793
J7170,"Injection, emicizumab-kxwh, 0.5 mg",1,1,13,44857,121.7183998,154.16882159,152.5740375
45380,Biopsy of large bowel using a flexible endoscope,518,520,44547,44797,135.87960394804423,1315.3158304412884,174.15230132177692
00142,Anesthesia for lens surgery,591,591,39710,44775,77.54011378110322,885.7335800588612,98.32334348971912
93294,"Evaluation of single, dual, multiple lead or leadless pacemaker system, remote up to 90 days",229,229,23552,44570,21.010176911693016,96.99117298709608,29.984120609227077
11103,"Biopsy of related skin growth, each additional growth",425,426,25892,44395,37.101932855448354,116.7548638267136,48.16437602463145
J0485,"Injection, belatacept, 1 mg",1,1,31,44275,2.9844670807,14.377002823,3.7446089215
43239,"Biopsy of esophagus, stomach, and/or upper small bowel using a flexible endoscope",519,520,42648,43920,100.04237050439808,1019.9736921207885,129.15621254099614
J2350,"Injection, ocrelizumab, 1 mg",2,2,41,43800,45.6996127105,98.904016627,57.1704002105
84165,"Protein measurement, serum",96,96,30514,43596,12.638888431749999,58.945624004916674,15.472476560687499
90960,"Dialysis services, 4 or more physician visits per month (20 years or older)",220,221,9482,43439,281.8622460704525,767.9330017342534,357.9158336148417
